,_id,_url,_title,_artist,_album,_thumbnail,_duration,_energy,_danceability,_valence,_tempo,_loudness,_acousticness
0,1S30kHvkkdMkcuCTGSgS41,https://open.spotify.com/track/1S30kHvkkdMkcuCTGSgS41,Nine in the Afternoon - Single Mix,Panic! At The Disco,Pretty. Odd.,https://i.scdn.co/image/ab67616d0000b273586acdba3a0ddc93693a313e,191560,0.689,0.405,0.397,155.189,-5.75,0.0843
1,6BnioVUjZdsTeYliZcnNW8,https://open.spotify.com/track/6BnioVUjZdsTeYliZcnNW8,After Hours,We Are Scientists,Brain Thrust Mastery,https://i.scdn.co/image/ab67616d0000b273a6b996b1140c516deda4b9b0,232013,0.981,0.392,0.335,160.047,-4.564,2.9e-05
2,0Qi29hMhf8tIzDpa2BH9MV,https://open.spotify.com/track/0Qi29hMhf8tIzDpa2BH9MV,Flowers in Your Hair,The Lumineers,The Lumineers (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27337b16a48dec737a46b244ea2,110560,0.6,0.674,0.579,127.437,-10.097,0.714
3,1GErReAT0swX36x3O8GyQn,https://open.spotify.com/track/1GErReAT0swX36x3O8GyQn,To the End,My Chemical Romance,Three Cheers for Sweet Revenge,https://i.scdn.co/image/ab67616d0000b273cab7ae4868e9f9ce6bdfdf43,181026,0.975,0.372,0.467,162.967,-3.949,0.000133
4,0W4Kpfp1w2xkY3PrV714B7,https://open.spotify.com/track/0W4Kpfp1w2xkY3PrV714B7,Ho Hey,The Lumineers,The Lumineers,https://i.scdn.co/image/ab67616d0000b27373cd0c903b9929d5ce7b26dd,163133,0.466,0.685,0.353,79.936,-9.074,0.794
5,4pmU8AtVu9qU40Xd9zjEfA,https://open.spotify.com/track/4pmU8AtVu9qU40Xd9zjEfA,"A Little Less Sixteen Candles, A Little More ""Touch Me""",Fall Out Boy,From Under The Cork Tree,https://i.scdn.co/image/ab67616d0000b27371565eda831124be86c603d5,169026,0.889,0.538,0.696,133.044,-3.586,0.00704
6,6z2Fx4b0hjqLdsJQOrNxbM,https://open.spotify.com/track/6z2Fx4b0hjqLdsJQOrNxbM,I Caught Fire,The Used,In Love and Death,https://i.scdn.co/image/ab67616d0000b273b5bc4686d08a5812a63f180d,205160,0.881,0.484,0.466,99.999,-5.537,0.00147
7,5MMZJtHOiH1RmQSSe3DJdg,https://open.spotify.com/track/5MMZJtHOiH1RmQSSe3DJdg,Sleep On The Floor,The Lumineers,Cleopatra,https://i.scdn.co/image/ab67616d0000b273cd34380a48c22de3d0e475de,211851,0.431,0.389,0.275,142.14,-8.061,0.249
8,2kMjk14RmYyYhhSbipoa9U,https://open.spotify.com/track/2kMjk14RmYyYhhSbipoa9U,The Sharpest Lives,My Chemical Romance,The Black Parade,https://i.scdn.co/image/ab67616d0000b27317f77fab7e8f18d5f9fee4a1,200880,0.937,0.513,0.543,155.015,-3.427,0.000111
9,1Y2bmdezcb0NPhksn0Q4lk,https://open.spotify.com/track/1Y2bmdezcb0NPhksn0Q4lk,Sleep Alone,Two Door Cinema Club,Beacon,https://i.scdn.co/image/ab67616d0000b273db08470066dae4de091b3d5b,236440,0.759,0.521,0.552,148.044,-5.008,0.000111
10,4kAgnAL4WKx7YqnlL2fvMh,https://open.spotify.com/track/4kAgnAL4WKx7YqnlL2fvMh,Smile Like You Mean It,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d0000b27356a6d6e493a8f338be63fc49,234106,0.979,0.362,0.383,125.087,-2.581,0.000378
11,0kYUrLVQOfx21xuXu7OGrT,https://open.spotify.com/track/0kYUrLVQOfx21xuXu7OGrT,All These Things That I've Done,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d0000b27356a6d6e493a8f338be63fc49,301573,0.728,0.557,0.216,118.241,-6.181,0.00156
12,0DoACS30GwIY6qaFjCMMUz,https://open.spotify.com/track/0DoACS30GwIY6qaFjCMMUz,Transatlanticism,Death Cab for Cutie,Transatlanticism (10th Anniversary Edition),https://i.scdn.co/image/ab67616d0000b273c306113cf2eea54867337da2,475093,0.446,0.44,0.201,127.372,-9.928,0.39
13,0QZ5yyl6B6utIWkxeBDxQN,https://open.spotify.com/track/0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Lord Huron,Strange Trails,https://i.scdn.co/image/ab67616d0000b2739d2efe43d5b7ebc7cb60ca81,208211,0.366,0.545,0.1,86.997,-9.51,0.969
14,0C71NJD4BhvPopTwI7a8KV,https://open.spotify.com/track/0C71NJD4BhvPopTwI7a8KV,Seven Years,Saosin,Translating the Name,https://i.scdn.co/image/ab67616d0000b27380ba86a4d3442ac4213281a0,192786,0.941,0.239,0.223,81.844,-4.535,2.3e-05
15,71U9X93wy4BQGyvmjFqApv,https://open.spotify.com/track/71U9X93wy4BQGyvmjFqApv,Voices,Saosin,Saosin,https://i.scdn.co/image/ab67616d0000b2734706c6d8142fc9d21cee7415,217524,0.925,0.307,0.261,179.962,-3.918,9.39e-05
16,1yKAqZoi8xWGLCf5vajroL,https://open.spotify.com/track/1yKAqZoi8xWGLCf5vajroL,The Ghost of You,My Chemical Romance,Three Cheers for Sweet Revenge,https://i.scdn.co/image/ab67616d0000b273cab7ae4868e9f9ce6bdfdf43,194253,0.886,0.202,0.192,145.781,-3.805,0.0286
17,6rNQZNLx8kgHpzrG4tG8Y7,https://open.spotify.com/track/6rNQZNLx8kgHpzrG4tG8Y7,"Eat That Up, It's Good For You",Two Door Cinema Club,Tourist History,https://i.scdn.co/image/ab67616d0000b273ed32602d9145d51e00a2df72,223906,0.876,0.516,0.557,154.934,-5.162,0.00254
18,42et6fnHCw1HIPSrdPprMl,https://open.spotify.com/track/42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,Third Eye Blind,Third Eye Blind,https://i.scdn.co/image/ab67616d0000b2734139c9208eeed67d2a211beb,268360,0.864,0.64,0.701,102.026,-6.576,0.00832
